id,phase,block,seq_id,weight1,weight2,weight3,weight4,sorted1,sorted2,sorted3,sorted4,evidence,p_left,n_different,response,rt,rank_cue1,rank_cue2,rank_cue3,rank_cue4,c1_left,c2_left,c3_left,c4_left,c1_right,c2_right,c3_right,c4_right
310,1,1,95,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,1,1.636829576,3,2,1,4,1,1,2,1,2,1,2,2
310,1,1,41,0.3,0.6,0,0,0,0.6,0.3,0,0.9,0.88818423,2,-1,1.79128463,3,2,1,4,2,1,1,1,2,2,2,1
310,1,1,212,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,1,1.822909083,3,2,1,4,2,2,2,2,2,2,1,2
310,1,1,53,0.3,0.6,0,0,0,0.6,0.3,0,0.9,0.88818423,2,-1,2.047935495,3,2,1,4,2,1,1,2,2,2,2,1
310,1,1,140,0,-0.6,-0.9,0,-0.9,-0.6,0,0,-1.5,0.03065343,2,-1,1.658078475,3,2,1,4,2,2,1,1,1,1,1,2
310,1,1,158,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,-1,1.576671064,3,2,1,4,2,1,2,2,2,1,1,1
310,1,1,115,0,0,0,0,0,0,0,0,0,0.5,0,-1,1.947658991,3,2,1,4,1,2,2,1,1,2,2,2
310,1,1,200,-0.3,0.6,0,0,0,0.6,-0.3,0,0.3,0.666139425,2,-1,1.581564103,3,2,1,4,2,1,2,2,2,2,1,1
310,1,1,31,0,0.6,-0.9,0,-0.9,0.6,0,0,-0.3,0.333860575,2,1,1.106905131,3,2,1,4,2,1,1,1,1,2,1,1
310,1,1,75,0.3,0,0.9,0,0.9,0,0.3,0,1.2,0.940649057,2,1,1.159895146,3,2,1,4,1,2,1,2,2,2,2,2
310,1,1,162,-0.3,-0.6,0,0,0,-0.6,-0.3,0,-0.9,0.11181577,2,-1,1.751846779,3,2,1,4,2,2,2,2,2,1,1,1
310,1,1,180,-0.3,0.6,-0.9,0,-0.9,0.6,-0.3,0,-0.6,0.200760009,3,-1,1.834823848,3,2,1,4,2,1,2,1,1,2,1,1
310,1,1,73,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,1,2.295325783,3,2,1,4,1,2,1,2,1,2,2,2
310,1,1,25,0.3,0,0.9,0,0.9,0,0.3,0,1.2,0.940649057,2,-1,1.630367563,3,2,1,4,1,1,1,2,2,1,2,2
310,1,1,148,-0.3,-0.6,-0.9,0,-0.9,-0.6,-0.3,0,-1.8,0.015601662,3,1,2.226800566,3,2,1,4,2,2,2,1,1,1,1,2
310,1,1,164,0,-0.6,0.9,0,0.9,-0.6,0,0,0.3,0.666139425,2,1,2.22467471,3,2,1,4,1,2,1,2,2,1,1,2
310,1,1,91,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,-1,3.014627456,3,2,1,4,2,2,1,2,2,2,2,1
310,1,1,61,0.3,-0.6,0.9,0,0.9,-0.6,0.3,0,0.6,0.799239991,3,-1,2.41071453,3,2,1,4,1,2,1,1,2,1,2,2
310,1,1,184,-0.3,0,-0.9,0,-0.9,0,-0.3,0,-1.2,0.059350943,2,1,2.07956029,3,2,1,4,2,2,2,1,1,2,1,1
310,1,1,216,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,1,2.480123356,3,2,1,4,1,2,2,1,1,1,2,1
310,1,1,194,-0.3,0,-0.9,0,-0.9,0,-0.3,0,-1.2,0.059350943,2,-1,1.050348828,3,2,1,4,2,2,2,1,1,2,1,2
310,1,1,119,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,-1,2.024784052,3,2,1,4,1,2,2,2,2,2,2,2
310,1,1,87,0.3,-0.6,0,0,0,-0.6,0.3,0,-0.3,0.333860575,2,1,2.076727514,3,2,1,4,2,2,1,2,2,1,2,1
310,1,1,160,-0.3,-0.6,0.9,0,0.9,-0.6,-0.3,0,-2.22E-16,0.5,3,-1,1.630765109,3,2,1,4,1,2,2,2,2,1,1,1
310,1,1,85,0.3,-0.6,-0.9,0,-0.9,-0.6,0.3,0,-1.2,0.059350943,3,-1,1.601053464,3,2,1,4,2,2,1,2,1,1,2,1
310,1,1,21,0,0.6,0.9,0,0.9,0.6,0,0,1.5,0.96934657,2,1,1.47654441,3,2,1,4,1,1,1,2,2,2,1,2
